player_id,name,position,current_team,jersey_number
1550,Ryan Griffin,QB,,4.0
4969,Vita Vea,DT,TB,50.0
13108,Julian Fleming,WR,,
623,Rodger Saffold,G,,65.0
557,Perrish Cox,CB,,20.0
11794,Micah Abraham,CB,,45.0
6930,Trystan Colon,C,DET,57.0
3423,Robbie Chosen,WR,WAS,12.0
3175,Jack Conklin,OT,CLE,78.0
1897,Nikita Whitlock,FB,,49.0
12121,Deshaun Fenwick,RB,,35.0
3723,Josh James,G,,0.0
1282,Ryan Davis,DE,,98.0
406,John Phillips,TE,,82.0
3496,Stephen Anderson,TE,,40.0
1,GJ Kinne,QB,,2.0
4813,Marvin Bracy,WR,,87.0
11365,Tyreque Jones,DB,,33.0
1800,Jordan Matthews,TE,,81.0
7795,Rodarius Williams,CB,,28.0
5907,Vosean Joseph,OLB,,50.0
6702,Andrew Jacas,K,,0.0
2780,Ian Wild,S,,38.0
591,Major Wright,SS,,31.0
4833,Connor Bozick,G,,74.0
833,Jordan Cameron,TE,,84.0
7964,Leighton McCarthy,LB,,0.0
7634,Jamin Davis,LB,LV,48.0
7846,Caleb Johnson,LB,MIA,51.0
4209,Danny Isidora,OL,,66.0
2537,Mario Alford,WR,,15.0
3953,Austin Trainor,QB,,9.0
12258,Buddha Jones,NT,,
5100,Jordan Wilkins,RB,,30.0
7938,Hunter Kampmoyer,TE,,84.0
12848,Josh Kelly,WR,HOU,85.0
404,Jon Kitna,QB,,3.0
7392,Javelin Guidry,CB,,36.0
4847,Mikey Bart,DE,,64.0
2758,Brennen Beyer,ILB,,0.0
11376,Richard Gouraige,OL,,65.0
7381,Niko Lalos,DE,,57.0
1872,Timmy Jernigan,DT,,0.0
7199,Josh Nurse,DB,,38.0
698,Charlie Whitehurst,QB,,15.0
6221,Justin Skule,OT,MIN,67.0
8698,Jake Tonges,TE,SF,88.0
3453,Josh Ferguson,RB,,36.0
4385,Kalif Phillips,RB,,34.0
1623,Marcus Cromartie,FS,,46.0
7013,Steven Montez,QB,,12.0
8084,Mark Gilbert,CB,,46.0
11849,Karsen Barnhart,OL,GB,61.0
2745,Brad Bars,DE,,66.0
2193,Darrin Reaves,RB,,24.0
7862,T.J. Vasher,WR,,16.0
12459,Player Invalid,RB,,
10233,Max Duggan,QB,,8.0
8079,Craig Stevens,TE,,88.0
1517,Theo Riddick,RB,,0.0
5354,Canon Rooker,K,,15.0
1396,Josh Aubrey,SS,,31.0
6279,Brandon Dillon,TE,,46.0
6501,C.J. Conrad,TE,,43.0
5704,David Tepper,,,0.0
11217,Michael Ayers,LB,,43.0
85,Justin Tuck,DE,,91.0
11709,Matt Goncalves,OL,IND,71.0
11161,Kendall Smith,DB,,40.0
8796,Silas Kelly,LB,,0.0
8620,Segun Olubi,LB,IND,50.0
2311,Leonard Williams,DE,SEA,99.0
6351,Corrion Ballard,S,,35.0
3587,Stefan McClure,SS,,30.0
11865,Jalyn Phillips,DB,,
3777,Dillon Gordon,OT,,0.0
5728,Kendall Calhoun,OT,,0.0
1007,Kevin Brock,TE,,85.0
4932,Nick James,DT,,0.0
6476,D'Angelo Ross,DB,CLE,20.0
3005,Lavon Hooks,DT,,0.0
3511,Aziz Shittu,DT,,67.0
5776,Mark Chapman,WR,,85.0
6818,Nnamdi Madubuike,DT,BAL,92.0
2948,Brandon Cottom,RB,,42.0
12971,Ke'Shawn Williams,WR,CIN,12.0
5635,Rashard Fant,CB,,29.0
6381,Alexander Hollins,WR,,0.0
6016,Dax Raymond,TE,PIT,49.0
5538,Fred Lauina,G,,60.0
13244,R.J. Moten,LB,,
11744,Dadrion Taylor-Demerson,DB,ARI,42.0
3738,Jake Bernstein,G,,64.0
1163,Markus Kuhn,DT,,94.0
4662,Dillon DeBoer,C,,60.0
11157,Brycen Tremayne,WR,CAR,87.0
3471,Aaron Green,RB,,36.0
977,Demarcus Dobbs,DE,,95.0
2297,Glenn Winston,RB,,28.0
6981,Tipa Galeai,LB,,40.0
881,Ricky Stanzi,QB,,2.0
4542,B.T. Sanders,SS,,47.0
5841,Ed Oliver,DT,BUF,91.0
8366,Isaiah Graham-Mobley,LB,,0.0
6908,La'Mical Perine,RB,,29.0
7710,Janarius Robinson,DE,KC,98.0
1370,William Campbell,G,,64.0
3482,Elijah Shumate,SS,,0.0
12571,Mike Green,DL,BAL,45.0
4569,Brian Brown,WR,,3.0
8823,Alex Mollette,OL,,61.0
12120,Zuri Henry,OL,,
8277,Christopher Allen,LB,,45.0
3945,Darius White,WR,,6.0
12060,Aaron Casey,LB,,
5525,Justin Evans,OT,,65.0
4673,Algernon Brown,FB,,30.0
5007,Keke Coutee,WR,,88.0
8116,Pierre Strong,RB,GB,22.0
2518,Hayes Pullard,LB,,50.0
6823,Jacob Eason,QB,,7.0
3648,Matt Weiser,TE,,87.0
7675,Wyatt Davis,G,,50.0
1469,John Wetzel,OG,,75.0
7619,Mathew Sexton,WR,,87.0
7555,Jamie Newman,QB,,10.0
7195,John Daka,DE,,0.0
4333,Jhaustin Thomas,DT,,0.0
3251,Jordan Jenkins,DE,,94.0
4855,Simeon Rice,DE,,97.0
547,Shelley Smith,G,,73.0
6114,Zack Bailey,G,,79.0
525,Morgan Cox,LS,TEN,46.0
7585,Davis Mills,QB,HOU,10.0
3284,Deon Bush,DB,KC,26.0
12399,Caleb Chapman,WR,,
2603,Shane Wynn,WR,,0.0
12221,Andre Carter,DL,,
1632,Deveron Carr,CB,,1.0
3984,Taylor Symmank,P,,9.0
1084,Trevin Wade,CB,,49.0
708,Frank Zombo,LB,,51.0
8025,Adam Prentice,FB,DEN,46.0
11406,Corey Mayfield,CB,,39.0
7787,Damar Hamlin,DB,BUF,3.0
8931,Josh Ali,WR,,80.0
5376,Jack Cichy,LB,,48.0
11434,Seth Benson,LB,,57.0
2052,Tevin Reese,WR,,16.0
7700,Joshua Kaindoh,DE,,59.0
8633,Stephon Robinson,WR,,0.0
5436,Emmanuel Moseley,CB,,4.0
2359,Ameer Abdullah,RB,IND,26.0
6225,Kahzin Daniels,OLB,,0.0
1743,Brittan Golden,WR,,83.0
1630,Darius Eubanks,LB,,49.0
3489,Keith Lumpkin,OT,,0.0
103,Matt Forte,RB,,22.0
6305,Austin Cutting,LS,,58.0
788,Dion Lewis,RB,,0.0
5043,Nathan Shepherd,DT,NO,93.0
8241,Anthony Brown,QB,,15.0
5854,Drew Lock,QB,SEA,2.0
5021,Lorenzo Carter,LB,,54.0
7519,Aaron Patrick,DE,,94.0
2936,Rasheed Williams,RB,,0.0
9,Mike Scifres,P,,5.0
4594,Alex Barrett,DE,,58.0
3211,Paul Perkins,RB,,0.0
7593,Trey Sermon,RB,PIT,37.0
3731,Eric Lee,DE,,55.0
6489,Taryn Christion,QB,,5.0
11855,Amari Gainer,LB,NE,45.0
8391,Dominique Robinson,DL,CHI,90.0
7614,Darius Clark,RB,,0.0
13142,J.R. Singleton,DL,SEA,70.0
12832,Blayne Taylor,WR,,
12809,Mac Dalena,WR,,
6966,Javon Leake,RB,,40.0
1209,Robert Blanton,FS,,29.0
4548,Joel Bouagnon,RB,,34.0
7967,Lawrence White,DB,,28.0
114,Todd Herremans,G,,79.0
5316,Will Clapp,C,NO,76.0
12354,Easton Dean,TE,,
3021,Devin Gardner,WR,,15.0
11579,Audric Estime,RB,NO,30.0
12584,Darien Porter,DB,LV,26.0
2267,Jimmie Ward,DB,HOU,20.0
12742,Connor Colby,OL,SF,75.0
